"text-gray-900","text-gray-900 2","text-gray-900 3","text-gray-900 4","text-gray-400","text-gray-900 5","font-mono","font-mono 2","font-mono 3","text-gray-900 6","text-gray-400 2"
"5/5/2026","BiCRS - Biochar Carbon Removal (BCR)","Carbonex | Soler Group","Not Disclosed","—","Klimate","395","395","0","Delivered",""
"5/4/2026","BiCRS - Biochar Carbon Removal (BCR)","Biokolprodukter","Not Disclosed","—","Klimate","87","87","0","Delivered",""
"5/4/2026","BiCRS - Biochar Carbon Removal (BCR)","Biokolprodukter","Not Disclosed","","Klimate","150","150","0","Klimate",""
"5/4/2026","BiCRS - Biochar Carbon Removal (BCR)","Biokolprodukter","Not Disclosed","—","Klimate","381","381","0","Delivered",""
"4/30/2026","Enhanced Weathering (EW)","Alt Carbon","Not Disclosed","—","Delivered","6,509","6,509","0","","—"
"4/30/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","The Economist Group","—","Carbonfuture","155","155","0","Delivered",""
"4/29/2026","Direct Air Carbon Capture and Sequestration (DACCS)","Octavia Carbon","Wren Climate, PBC","—","Contracted","46","0","0","","—"
"4/29/2026","Direct Air Carbon Capture and Sequestration (DACCS)","Octavia Carbon","Climate Impact Partners","—","Contracted","7","0","0","","—"
"4/21/2026","mCDR - Direct Ocean Removal","Captura","Future Planet Capital","—","Contracted","6","0","0","","—"
"4/21/2026","BiCRS - Biochar Carbon Removal (BCR)","Engrow","Altitude","—","Contracted","425,000","0","0","","—"
"4/15/2026","Enhanced Weathering (EW)","Alt Carbon","Mitsui OSK Lines","—","Partial","2,283.08","2,283.08","0","","—"
"4/15/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","Not Disclosed","—","Supercritical","500,000","0","0","Contracted",""
"4/14/2026","BiCRS - Biochar Carbon Removal (BCR)","Biokol.se","MAX Burgers","—","Contracted","1,200","0","0","","—"
"4/14/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","Not Disclosed","","Climate Impact Partners","12,000","4,000","0","Climate Impact Partners",""
"4/9/2026","BiCRS - Biomass Direct Storage","Graphyte","JPMorgan Chase","—","Contracted","60,000","0","0","","—"
"4/6/2026","BiCRS - Bioenergy with Carbon Capture and Sequestration (BECCS)","North Star Carbon Solutions","Microsoft","—","Contracted","626,000","0","0","","—"
"4/2/2026","BiCRS - Biomass Direct Storage","Mast Reforestation","Upwork","—","Cnaught","18","18","18","Retired",""
"4/2/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","Generation Investment Management","—","Patch","745","745","745","Retired",""
"4/1/2026","Mineralization - Ex-situ","O.C.O. Technology","Not Disclosed","—","CEEZER","25","25","25","Retired",""
"4/1/2026","Mineralization - Ex-situ","O.C.O. Technology","Not Disclosed","—","Retired","19","19","19","","—"
"4/1/2026","Mineralization - Ex-situ","O.C.O. Technology","Not Disclosed","—","CEEZER","275","275","275","Retired",""
"4/1/2026","BiCRS - Biomass Direct Storage","Graphyte","ClimeFi","—","Delivered","3,000","3,000","0","","—"
"3/31/2026","mCDR - Alkalinity Enhancement - Coastal","Planetary","Watershed","—","Delivered","29","29","0","","—"
"3/31/2026","BiCRS - Biochar Carbon Removal (BCR)","Planboo","DSC Meridian","—","Cnaught","3","3","3","Retired",""
"3/31/2026","mCDR - Alkalinity Enhancement - Coastal","Planetary","Google","—","Delivered","220","220","0","","—"
"3/31/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","Shopify","—","Delivered","700","700","0","","—"
"3/31/2026","mCDR - Alkalinity Enhancement - Coastal","Planetary","McKinsey","—","Delivered","18","18","0","","—"
"3/31/2026","mCDR - Alkalinity Enhancement - Coastal","Planetary","H&M Group","—","Delivered","27","27","0","","—"
"3/31/2026","mCDR - Alkalinity Enhancement - Coastal","Planetary","Autodesk","—","Retired","5","5","5","","—"
"3/31/2026","Direct Air Carbon Capture and Sequestration (DACCS)","Gevo, Inc.","Amgen Inc.","—","3Degrees Group, Inc.","250","250","250","Retired",""
"3/31/2026","mCDR - Alkalinity Enhancement - Coastal","Planetary","Stripe","—","Delivered","635","635","0","","—"
"3/31/2026","mCDR - Alkalinity Enhancement - Coastal","Planetary","Workday","—","Retired","50","50","50","","—"
"3/31/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","Macquarie Group","—","Supercritical","500","500","500","Retired",""
"3/31/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","International Monetary Fund","—","First Climate","1,700","1,700","1,700","Retired",""
"3/31/2026","mCDR - Alkalinity Enhancement - Coastal","Planetary","Shopify","—","Retired","182","182","182","","—"
"3/31/2026","BiCRS - Biomass Direct Storage","Mast Reforestation","DSC Meridian","—","Cnaught","3","3","3","Retired",""
"3/31/2026","mCDR - Alkalinity Enhancement - Coastal","Planetary","Salesforce","—","Delivered","176","176","0","","—"
"3/31/2026","BiCRS - Biomass Direct Storage","Mast Reforestation","BWBR Architects, Inc.","—","Cnaught","4","4","4","Retired",""
"3/30/2026","BiCRS - Biomass Direct Storage","Mast Reforestation","Bain & Company","—","Carbonplace","371","371","371","Retired",""
